gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
hblD	NP_832846	VF0532	VF0532	HBL	Haemolysin BL	Bacillus cereus	VFC0235	Exotoxin	This enterotoxin is toxic only as a ternary complex. Neither any binary combination of the components nor any individual component is toxic in its own right	"Tripartite toxin composed of three distinct protein components, B (41 kDa), L1 (38.2 kDa), and L2 (43.5 kDa); Hbl-B has a striking resemblance to HlyE/ClyA/SheA, a single-component hemolytic enterotoxin"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"HBL-B is the only protein able to associate productively with the cell membrane, and this binding is followed by the ordered recruitment of first L1 and then L2.The membrane-associated HBL components form a membrane attack complex that causes lysis by a colloid osmotic mechanism"	Abstract(s) in PubMed
hblC	NP_832847	VF0532	VF0532	HBL	Haemolysin BL	Bacillus cereus	VFC0235	Exotoxin	This enterotoxin is toxic only as a ternary complex. Neither any binary combination of the components nor any individual component is toxic in its own right	"Tripartite toxin composed of three distinct protein components, B (41 kDa), L1 (38.2 kDa), and L2 (43.5 kDa); Hbl-B has a striking resemblance to HlyE/ClyA/SheA, a single-component hemolytic enterotoxin"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"HBL-B is the only protein able to associate productively with the cell membrane, and this binding is followed by the ordered recruitment of first L1 and then L2.The membrane-associated HBL components form a membrane attack complex that causes lysis by a colloid osmotic mechanism"	Abstract(s) in PubMed
nheA	NP_978284	VF0533	VF0533	Nhe	Nonhemolytic enterotoxin	Bacillus cereus	VFC0235	Exotoxin	The respective HBL and NHE proteins share 23~40% sequence identity	"Tripartite pore-forming toxin that require the combined action of the three proteins a cytolytic protein NheA, and two binding components NheB and NheC; all three proteins are required for maximum biological activity"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"It is likely that NheB and NheC, which were predicted to have a similar structure to hemolysin E, also form oligomeric structures that resemble hemolysin E."	Abstract(s) in PubMed
nheB	NP_978285	VF0533	VF0533	Nhe	Nonhemolytic enterotoxin	Bacillus cereus	VFC0235	Exotoxin	The respective HBL and NHE proteins share 23~40% sequence identity	"Tripartite pore-forming toxin that require the combined action of the three proteins a cytolytic protein NheA, and two binding components NheB and NheC; all three proteins are required for maximum biological activity"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"It is likely that NheB and NheC, which were predicted to have a similar structure to hemolysin E, also form oligomeric structures that resemble hemolysin E."	Abstract(s) in PubMed
nheC	NP_978286	VF0533	VF0533	Nhe	Nonhemolytic enterotoxin	Bacillus cereus	VFC0235	Exotoxin	The respective HBL and NHE proteins share 23~40% sequence identity	"Tripartite pore-forming toxin that require the combined action of the three proteins a cytolytic protein NheA, and two binding components NheB and NheC; all three proteins are required for maximum biological activity"	"A pore-forming toxin possesses hemolytic, cytotoxic, dermonecrotic, and vascular permeability activities"	"It is likely that NheB and NheC, which were predicted to have a similar structure to hemolysin E, also form oligomeric structures that resemble hemolysin E."	Abstract(s) in PubMed
capE	YP_016572	VF0141	VF0141	Capsule		Bacillus anthracis	VFC0258	Immune modulation	"Capsule synthesis is encoded by the plasmid pXO2; capBCA encodes membrane associated enzymes, dep, adjacent to the cap region for the encapsulation, degrades the high-molecular weight capsule (H-capsule, >100 KDa) to the lower-molecular weight capsule (L-capsule, <14 KDa); acpA located on plasmid pXO2 is a positive regulator for cap region and is activated by high concentrations of CO2"	A polymer of <gamma>-D-glutamic acid	"Inhibits phagocytosis, and it is a monotonous linear polymer that is only very weakly immunogenic that enables the bacteria to evade the host-immune defenses and facilitate systemic invasion and dissemination within the bloodstream; produces a concentration dependent enhancement of the cytotoxicity of LT through an enhancement in the binding and accumulation of protective antigen to its receptors."		Abstract(s) in PubMed
inhA	YP_026915	VF0536	VF0536	InhA	Immune inhibitor A	Bacillus anthracis	VFC0251	Exoenzyme			A secreted and cell associated protease plays a role in anthrax virulence through cleavage of numerous host substrates including host proteins involved in the coagulation cascade so as to potentially facilitate circulatory dissemination of bacteria; a regulatory factor of adhesin BslA expression		Abstract(s) in PubMed
bslA/yuaB	NP_390986	VF0411	VF0411	BslA	B. anthracis S-layer protein A	Bacillus anthracis	VFC0001	Adherence		"Consists of a canonical Ig-like domain, to which is appended a three-stranded ""cap"" that is highly hydrophobic in character, rich in leucine residues as well as isoleucine, valine, and alanine. This cap comprises a surface-exposed hydrophobic patch."	Encodes a major S-layer protein that is located within the pXO1 pathogenicity island that also codes for toxin genes. BslA mediates adherence and entry to epithelial cells by binding integrin <alpha>2<beta>1 and complement component C1q;forms a highly hydrophobic coat around B. subtilis biofilms		Abstract(s) in PubMed
virB2	YP_034051	VF0369	VF0369	VirB/VirD4 type IV secretion system		Bartonella henselae	VFC0086	Effector delivery system	"The VirB/VirD4 T4SS is well conserved within the genus Bartonella, although it is absent in B. bacilliformis. Its closest relative is a genuine conjugation system, the AvhB/TraG system of the cryptic plasmid pATC58 of Agrobacterium tumefaciens; The Bartonella VirB/VirD4 system is encoded by an operon of 10 genes (virB2-virB11). Seven Bartonella-translocated effector proteins (BepA-BepG) and the coupling protein VirD4 are encoded within 22 kb downstream of the virB operon. The entire virB/virD4/bep region probably constitutes a pathogenicity island"	"The Bartonella VirB/VirD4 system is considered to encompass a VirB2 pilin and VirB5 minor pilus component, which form a pilus that can mediate contact with host cells. The components VirB3, VirB4 and VirB6-VirB11, which form a pore complex that spans both Gram-negative membranes and possibly also the host-cell membrane. And the T4SS coupling protein (T4CP) VirD4, an inner-membrane protein thought to function as an interface between the pore complex and the T4SS substrates"	"Crucial for establishment of infection in the primary niche- the endothelial cells, required for colonization of endothelial cells, by mediating the intracellular delivery of effector proteins (BepA-BepG). Translocation of the Beps provokes distinct cellular phenotypes: (i) a massive cytoskeleton rearrangement, resulting in the engulfment of bacterial aggregates (a phenotype called 'invasome' formation), (ii) NF-<kappa>B-dependent proinflammatory activation, characterized by chemokine secretion and expression of cell adhesion proteins, and (iii) enhanced cell survival as a result of anti-apoptosis (iv) capillary-like sprout formation of endothelial cell aggregates,"	"The Bartonella-translocated effector protein (BepA-BepG) are required for invasion, proinflammatory activation and anti-apoptotic protection of endothelial cells. The C terminus of each Bep harbours at least one copy of the novel Bep intracellular delivery (BID) domain and a short, positively charged tail sequence. The bipartite C terminus is required for protein transfer, their N-terminal region might be crucial for effector function within host cells.; The N termini of BepA-BepC comprise the Fic (filamentation induced by cAMP) domain, which is conserved in many bacteria and was proposed to be involved in bacterial cell division. The effector functions of the Fic domain within mammalian target cells are unknown.; The N termini of BepD-BepF contain short repeated peptide sequences that contain conserved putative tyrosine-phosphorylation motifs (EPLYA). Future studies might show how tyrosine-phosphorylated Beps contribute to the subversion of endothelial-cell function. BepG is unique among the Beps because it appears to be entirely composed of BID domains.; Invasome formation can be triggered in a redundant manner, either by BepG alone or by the combined action of effectors BepC and BepF."	Abstract(s) in PubMed
virB3	YP_034052	VF0369	VF0369	VirB/VirD4 type IV secretion system		Bartonella henselae	VFC0086	Effector delivery system	"The VirB/VirD4 T4SS is well conserved within the genus Bartonella, although it is absent in B. bacilliformis. Its closest relative is a genuine conjugation system, the AvhB/TraG system of the cryptic plasmid pATC58 of Agrobacterium tumefaciens; The Bartonella VirB/VirD4 system is encoded by an operon of 10 genes (virB2-virB11). Seven Bartonella-translocated effector proteins (BepA-BepG) and the coupling protein VirD4 are encoded within 22 kb downstream of the virB operon. The entire virB/virD4/bep region probably constitutes a pathogenicity island"	"The Bartonella VirB/VirD4 system is considered to encompass a VirB2 pilin and VirB5 minor pilus component, which form a pilus that can mediate contact with host cells. The components VirB3, VirB4 and VirB6-VirB11, which form a pore complex that spans both Gram-negative membranes and possibly also the host-cell membrane. And the T4SS coupling protein (T4CP) VirD4, an inner-membrane protein thought to function as an interface between the pore complex and the T4SS substrates"	"Crucial for establishment of infection in the primary niche- the endothelial cells, required for colonization of endothelial cells, by mediating the intracellular delivery of effector proteins (BepA-BepG). Translocation of the Beps provokes distinct cellular phenotypes: (i) a massive cytoskeleton rearrangement, resulting in the engulfment of bacterial aggregates (a phenotype called 'invasome' formation), (ii) NF-<kappa>B-dependent proinflammatory activation, characterized by chemokine secretion and expression of cell adhesion proteins, and (iii) enhanced cell survival as a result of anti-apoptosis (iv) capillary-like sprout formation of endothelial cell aggregates,"	"The Bartonella-translocated effector protein (BepA-BepG) are required for invasion, proinflammatory activation and anti-apoptotic protection of endothelial cells. The C terminus of each Bep harbours at least one copy of the novel Bep intracellular delivery (BID) domain and a short, positively charged tail sequence. The bipartite C terminus is required for protein transfer, their N-terminal region might be crucial for effector function within host cells.; The N termini of BepA-BepC comprise the Fic (filamentation induced by cAMP) domain, which is conserved in many bacteria and was proposed to be involved in bacterial cell division. The effector functions of the Fic domain within mammalian target cells are unknown.; The N termini of BepD-BepF contain short repeated peptide sequences that contain conserved putative tyrosine-phosphorylation motifs (EPLYA). Future studies might show how tyrosine-phosphorylated Beps contribute to the subversion of endothelial-cell function. BepG is unique among the Beps because it appears to be entirely composed of BID domains.; Invasome formation can be triggered in a redundant manner, either by BepG alone or by the combined action of effectors BepC and BepF."	Abstract(s) in PubMed
virB4	YP_034053	VF0369	VF0369	VirB/VirD4 type IV secretion system		Bartonella henselae	VFC0086	Effector delivery system	"The VirB/VirD4 T4SS is well conserved within the genus Bartonella, although it is absent in B. bacilliformis. Its closest relative is a genuine conjugation system, the AvhB/TraG system of the cryptic plasmid pATC58 of Agrobacterium tumefaciens; The Bartonella VirB/VirD4 system is encoded by an operon of 10 genes (virB2-virB11). Seven Bartonella-translocated effector proteins (BepA-BepG) and the coupling protein VirD4 are encoded within 22 kb downstream of the virB operon. The entire virB/virD4/bep region probably constitutes a pathogenicity island"	"The Bartonella VirB/VirD4 system is considered to encompass a VirB2 pilin and VirB5 minor pilus component, which form a pilus that can mediate contact with host cells. The components VirB3, VirB4 and VirB6-VirB11, which form a pore complex that spans both Gram-negative membranes and possibly also the host-cell membrane. And the T4SS coupling protein (T4CP) VirD4, an inner-membrane protein thought to function as an interface between the pore complex and the T4SS substrates"	"Crucial for establishment of infection in the primary niche- the endothelial cells, required for colonization of endothelial cells, by mediating the intracellular delivery of effector proteins (BepA-BepG). Translocation of the Beps provokes distinct cellular phenotypes: (i) a massive cytoskeleton rearrangement, resulting in the engulfment of bacterial aggregates (a phenotype called 'invasome' formation), (ii) NF-<kappa>B-dependent proinflammatory activation, characterized by chemokine secretion and expression of cell adhesion proteins, and (iii) enhanced cell survival as a result of anti-apoptosis (iv) capillary-like sprout formation of endothelial cell aggregates,"	"The Bartonella-translocated effector protein (BepA-BepG) are required for invasion, proinflammatory activation and anti-apoptotic protection of endothelial cells. The C terminus of each Bep harbours at least one copy of the novel Bep intracellular delivery (BID) domain and a short, positively charged tail sequence. The bipartite C terminus is required for protein transfer, their N-terminal region might be crucial for effector function within host cells.; The N termini of BepA-BepC comprise the Fic (filamentation induced by cAMP) domain, which is conserved in many bacteria and was proposed to be involved in bacterial cell division. The effector functions of the Fic domain within mammalian target cells are unknown.; The N termini of BepD-BepF contain short repeated peptide sequences that contain conserved putative tyrosine-phosphorylation motifs (EPLYA). Future studies might show how tyrosine-phosphorylated Beps contribute to the subversion of endothelial-cell function. BepG is unique among the Beps because it appears to be entirely composed of BID domains.; Invasome formation can be triggered in a redundant manner, either by BepG alone or by the combined action of effectors BepC and BepF."	Abstract(s) in PubMed
virB5	YP_034054	VF0369	VF0369	VirB/VirD4 type IV secretion system		Bartonella henselae	VFC0086	Effector delivery system	"The VirB/VirD4 T4SS is well conserved within the genus Bartonella, although it is absent in B. bacilliformis. Its closest relative is a genuine conjugation system, the AvhB/TraG system of the cryptic plasmid pATC58 of Agrobacterium tumefaciens; The Bartonella VirB/VirD4 system is encoded by an operon of 10 genes (virB2-virB11). Seven Bartonella-translocated effector proteins (BepA-BepG) and the coupling protein VirD4 are encoded within 22 kb downstream of the virB operon. The entire virB/virD4/bep region probably constitutes a pathogenicity island"	"The Bartonella VirB/VirD4 system is considered to encompass a VirB2 pilin and VirB5 minor pilus component, which form a pilus that can mediate contact with host cells. The components VirB3, VirB4 and VirB6-VirB11, which form a pore complex that spans both Gram-negative membranes and possibly also the host-cell membrane. And the T4SS coupling protein (T4CP) VirD4, an inner-membrane protein thought to function as an interface between the pore complex and the T4SS substrates"	"Crucial for establishment of infection in the primary niche- the endothelial cells, required for colonization of endothelial cells, by mediating the intracellular delivery of effector proteins (BepA-BepG). Translocation of the Beps provokes distinct cellular phenotypes: (i) a massive cytoskeleton rearrangement, resulting in the engulfment of bacterial aggregates (a phenotype called 'invasome' formation), (ii) NF-<kappa>B-dependent proinflammatory activation, characterized by chemokine secretion and expression of cell adhesion proteins, and (iii) enhanced cell survival as a result of anti-apoptosis (iv) capillary-like sprout formation of endothelial cell aggregates,"	"The Bartonella-translocated effector protein (BepA-BepG) are required for invasion, proinflammatory activation and anti-apoptotic protection of endothelial cells. The C terminus of each Bep harbours at least one copy of the novel Bep intracellular delivery (BID) domain and a short, positively charged tail sequence. The bipartite C terminus is required for protein transfer, their N-terminal region might be crucial for effector function within host cells.; The N termini of BepA-BepC comprise the Fic (filamentation induced by cAMP) domain, which is conserved in many bacteria and was proposed to be involved in bacterial cell division. The effector functions of the Fic domain within mammalian target cells are unknown.; The N termini of BepD-BepF contain short repeated peptide sequences that contain conserved putative tyrosine-phosphorylation motifs (EPLYA). Future studies might show how tyrosine-phosphorylated Beps contribute to the subversion of endothelial-cell function. BepG is unique among the Beps because it appears to be entirely composed of BID domains.; Invasome formation can be triggered in a redundant manner, either by BepG alone or by the combined action of effectors BepC and BepF."	Abstract(s) in PubMed
