Name	Family	Origin	Length
ISNpu10	ISAzo13	Nostoc punctiforme	1334
ISNsp4	ISAzo13	Nostoc sp.	1335
ISOan1	ISAs1	Octadecabacter antarcticus	1245
ISPa60	ISAs1	Pseudomonas aeruginosa	1228
ISPg2	ISAs1	Porphyromonas gingivalis	1207
ISPg6	ISAs1	Porphyromonas gingivalis	1139
ISPin4	ISAs1	Psychromonas ingrahamii	1364
ISPlr1	ISAs1	Planktothrix rubescens	1423
ISPlu17	ISAs1	Photorhabdus luminescens	1244
ISPlu18	ISAs1	Photorhabdus luminescens	1253
ISPpr10	ISAs1	Photobacterium profundum	1307
ISPpr11	ISAs1	Photobacterium profundum	1238
ISPpr12	ISAs1	Photobacterium profundum	1326
ISPsesp1	ISAs1	Pseudoalteromonas sp.	1202
ISPto5	ISAs1	Psychroflexus torquis	1265
ISRba7	ISAs1	Rhodopirellula baltica	1302
ISRce1	ISAs1	Rhodospirillum centenum	1267
ISRisp1	ISAzo13	Rivularia sp.	1333
ISRm21	ISAs1	Sinorhizobium meliloti	1167
ISRop2	ISAzo13	Rhodococcus opacus	2171
ISRpa5	ISAs1	Rhodopseudomonas palustris	1193
ISRpa6	ISAs1	Rhodopseudomonas palustris	1193
ISRpa7	ISAs1	Rhodopseudomonas palustris	1196
ISSaci1	ISAzo13	Streptomyces acidiscabies	1747
ISSba1	ISAs1	Shewanella baltica	1218
ISSba2	ISAs1	Shewanella baltica	1217
ISScl2	ISAzo13	Streptomyces clavuligerus	1819
ISSde9	ISAs1	Shewanella denitrificans	1244
ISSe1	ISAs1	Salmonella enterica	1284
ISSeq10	ISAs1	Streptococcus equi	1267
ISSiac3	ISAzo13	Singulisphaera acidiphila	1335
ISSod22	ISAs1	Shewanella oneidensis	1245
ISSpu13	ISAs1	Shewanella putrefaciens	1240
ISSpu3	ISAs1	Shewanella putrefaciens	1202
ISStau11	ISAzo13	Stigmatella aurantiaca	1349
ISStau6	ISAzo13	Stigmatella aurantiaca	1304
ISStsp1	ISAzo13	Streptomyces sp.	1694
ISStsp2	ISAzo13	Streptomyces sp.	1752
ISStu2	ISAzo13	Streptomyces turgidiscabies	1760
ISStvi1	ISAzo13	Streptomyces violaceusniger	1738
ISTha1	ISAs1	Thauera sp.	1301
ISTha2	ISAs1	Thauera sp.	1268
ISUnCu11	ISAs1	uncultured bacterium	1223
ISVa13	ISAs1	Vibrio anguillarum	1235
ISVba1	ISAs1	Vibrionales bacterium	1234
ISVer2	ISAs1	Bacterium Ellin514	1231
ISVha1	ISAs1	Vibrio harveyi	1238
ISVsa13	ISAs1	Aliivibrio salmonicida	1226
ISVsa14	ISAs1	Aliivibrio salmonicida	1276
ISVsh1	ISAs1	Vibrio shilonii	1226
ISVsp18	ISAs1	Verrucomicrobium spinosum	1241
ISVsp6	ISAs1	Verrucomicrobium spinosum	1241
ISVsp7	ISAs1	Verrucomicrobium spinosum	1237
ISXa1	ISAs1	Xanthobacter autotrophicus	1584
ISXne3	ISAs1	Xenorhabdus nematophila	1214
MITEAeme2	ISAs1	Aeromonas media	151
ISC1200	ISH3	Sulfolobus solfataricus	1200
ISC1225	ISH3	Sulfolobus solfataricus	1225
ISC1359	ISH3	Sulfolobus solfataricus	1359
ISC1439A	ISH3	Sulfolobus solfataricus	1439
ISC1439B	ISH3	Sulfolobus solfataricus	1439
ISFac1	ISH3	Ferroplasma acidarmanus	1477
ISH20	ISH3	Haloarcula marismortui	1374
ISH20A	ISH3	Halobacterium salinarum	1375
ISH27-1	ISH3	Halobacterium salinarum	1398
ISH27-2	ISH3	Halobacterium salinarum	1389
ISH27-3	ISH3	Halobacterium salinarum	1389
ISH31	ISH6	Halobacterium sp.	1445
ISH3B	ISH3	Halobacterium salinarum	1398
ISH3C	ISH3	Halobacterium sp.	1389
ISH51	ISH3	Haloferax volcanii	1398
ISH6	ISH6	Halobacterium salinarum	1448
ISHala2	ISH6	Halobiforma lacisalsi	1442
ISHla1	ISH3	Halorubrum lacusprofundi	1399
ISHla10	ISH6	Halorubrum lacusprofundi	1444
ISHla11	ISH3	Halorubrum lacusprofundi	1376
ISHla5	ISH3	Halorubrum lacusprofundi	1397
ISHla8	ISH3	Halorubrum lacusprofundi	1460
ISHla9	ISH3	Halorubrum lacusprofundi	1436
ISHli5	ISH3	Halohasta litchfieldiae	1377
ISHma5	ISH6	Haloarcula marismortui	1449
ISHs1	ISH6	Halobacterium salinarum	1449
ISHsa1	ISH6	Halococcus salifodinae	1467
ISHsal1	ISH3	Halobacterium salinarum	1389
ISHsal2	ISH3	Halobacterium salinarum	1399
ISHth1	ISH6	Halococcus thailandensis	1445
ISHth2	ISH6	Halococcus thailandensis	1442
ISHvo20	ISH3	Haloferax volcanii	1399
ISHvo21	ISH3	Haloferax volcanii	1402
ISHvo22	ISH3	Haloferax volcanii	1398
ISHwa12	ISH3	Haloquadratum walsbyi	1509
ISHwa13	ISH3	Haloquadratum walsbyi	1459
ISMba14	ISH3	Methanosarcina barkeri	1503
ISMbu7	ISH3	Methanococcoides burtonii	1248
ISMbu8	ISH3	Methanococcoides burtonii	1247
ISMma1	ISH3	Methanosarcina mazei	1500
ISMta1	ISH6	Methanolinea tarda	1588
ISNamo6	ISH3	Natronomonas moolapensis	1440
ISNph3	ISH6	Natronomonas pharaonis	1449
ISSis6	ISH3	Sulfolobus islandicus	1222
ISSto14	ISH3	Sulfolobus tokodaii	1227
ISSto8	ISH3	Sulfolobus tokodaii	1361
ISAcas1	ISKra4	Acaryochloris sp.	1467
ISAcas2	ISKra4	Acaryochloris sp.	1164
ISAcas3	ISKra4	Acaryochloris sp.	1484
ISAcce1	ISKra4	Acetivibrio cellulolyticus	1967
ISAfe13	ISKra4	Acidithiobacillus ferrivorans	2868
ISAra2	ISKra4	Agrobacterium radiobacter	2535
ISAtsp10	ISKra4	Arthrospira sp.	1574
ISAzba1	ISKra4	Azospirillum brasilense	1465
ISAzs26	ISKra4	Azospirillum sp.	2226
ISBeg3	ISKra4	Beggiatoa sp.	1662
ISBte1	ISKra4	Burkholderia terrae	2143
ISBte2	ISKra4	Burkholderia terrae	1517
ISBugl3	ISKra4	Burkholderia glumae	1576
ISBusp5	ISKra4	Burkholderia sp.	1533
ISCasp2	ISKra4	Calothrix sp.	1773
ISCasp3	ISKra4	Calothrix sp.	1734
ISCep1	ISKra4	Crinalium epipsammum	2958
ISCot1	ISKra4	Candidatus Odyssella	2802
ISCysp24	ISKra4	Cyanothece sp.	1170
ISCysp25	ISKra4	Cyanothece sp.	1189
ISCysp26	ISKra4	Cyanothece sp.	1758
ISDau4	ISKra4	Desulfobacterium autotrophicum	1609
ISDere1	ISKra4	Desulfohalobium retbaense	1553
ISDesp4	ISKra4	Desulfobacterium sp.	1849
ISDpr10	ISKra4	Delta proteobacterium	1682
ISEc51	ISKra4	Escherichia sp.	2857
ISFsp17	ISKra4	Frankia sp.	1693
ISGlsp1	ISKra4	Gloeocapsa sp.	1200
ISGob7	ISKra4	Gemmata obscuriglobus	1463
ISGvi7	ISKra4	Gloeobacter violaceus	1220
ISHhy1	ISKra4	Haliscomenobacter hydrossis	1356
ISHoc2	ISKra4	Haliangium ochraceum	1715
ISKpn19	ISKra4	Klebsiella pneumoniae	2851
ISKra2	ISKra4	Ktedonobacter racemifer	1665
ISKra4	ISKra4	Ktedonobacter racemifer	1657
ISLdr1	ISKra4	Legionella drancourtii	3746
ISLesp1	ISKra4	Leptolyngbya sp.	1165
ISLesp2	ISKra4	Leptolyngbya sp.	1502
ISLesp3	ISKra4	Leptolyngbya sp.	1385
ISLesp4	ISKra4	Leptolyngbya sp.	1696
ISLfe1	ISKra4	Leptospirillum ferrodiazotrophum	1800
ISLfe2	ISKra4	Leptospirillum ferrodiazotrophum	1803
ISMae18	ISKra4	Microcystis aeruginosa	1179
ISMae42	ISKra4	Microcystis aeruginosa	1196
ISMae43	ISKra4	Microcystis aeruginosa	1262
ISMal1	ISKra4	Mesorhizobium alhagi	2308
ISMet1	ISKra4	Methylocystis sp.	1557
ISMfu2	ISKra4	Myxococcus fulvus	1554
ISMic1	ISKra4	Microcoleus	1773
ISMich2	ISKra4	Microcoleus chthonoplastes	1805
ISMiva1	ISKra4	Microcoleus vaginatus	1165
ISMpr1	ISKra4	Moorea producens	1178
ISMpr2	ISKra4	Moorea producens	1735
ISNov1	ISKra4	Novosphingobium sp.	2277
ISNpu14	ISKra4	Nostoc punctiforme	1169
ISNpu15	ISKra4	Nostoc punctiforme	1218
ISNpu16	ISKra4	Nostoc punctiforme	1173
ISNsp5	ISKra4	Nostoc sp.	1166
ISNsp6	ISKra4	Nostoc sp.	1172
ISOni1	ISKra4	Oscillatoria nigro-viridis	1180
ISOni2	ISKra4	Oscillatoria nigro-viridis	1179
ISPle1	ISKra4	Pleurocapsa sp.	1172
ISPle2	ISKra4	Pleurocapsa sp.	1892
ISRli1	ISKra4	Roseobacter litoralis	1454
ISRma1	ISKra4	Rhodopirellula maiorica	1728
ISRssp6	ISKra4	Roseovarius sp.	1454
ISRssp7	ISKra4	Roseovarius sp.	1434
ISSfr3	ISKra4	Sinorhizobium fredii	1448
ISSiac4	ISKra4	Singulisphaera acidiphila	1519
ISSri1	ISKra4	Streptomyces rimosus	2269
ISSusp3	ISKra4	Sulfitobacter sp.	1434
ISSusp4	ISKra4	Sulfitobacter sp.	1443
ISSysp6	ISKra4	Synechococcus sp.	2172
ISSysp7	ISKra4	Synechococcus sp.	2833
ISSysp8	ISKra4	Synechococcus sp.	1187
ISThio1	ISKra4	Thiorhodovibrio sp.	1756
ISTni1	ISKra4	Thioalkalivibrio nitratireducens	2377
ISTvi1	ISKra4	Thiocystis violascens	1417
ISUnCu18	ISKra4	uncultured bacterium	1434
ISUnCu19	ISKra4	uncultured bacterium	1461
ISUnCu20	ISKra4	Uncultured Nitrospirae	1622
ISUnCu7	ISKra4	uncultured bacterium	2273
ISXne1	ISKra4	Xenorhabdus nematophila	2277
MITEPlu1	ISKra4	Photorhabdus luminescens	199
IS1001	ISL3	Bordetella parapertussis	1306
IS1096	ISL3	Mycobacterium smegmatis	2259
IS1165	ISL3	Leuconostoc mesenteroides	1553
IS1167	ISL3	Streptococcus pneumoniae	1435
IS1167A	ISL3	Streptococcus pneumoniae	1419
IS1181	ISL3	Staphylococcus aureus	1513
IS1193	ISL3	Streptococcus thermophilus	1411
IS1193D	ISL3	Streptococcus thermophilus	1411
IS1207	ISL3	Corynebacterium glutamicum	1453
IS1251	ISL3	Enterococcus faecium	1496
IS13869	ISL3	Brevibacterium lactofermentum	1437
IS1396	ISL3	Serratia marcescens	1771
IS1411	ISL3	Pseudomonas sp.	1419
IS1476	ISL3	Enterococcus faecium	1500
IS1489v1	ISL3	Pseudomonas putida	1898
IS1557	ISL3	Mycobacterium tuberculosis	1509
IS2001	ISL3	Bifidobacterium lactis	1406
IS204	ISL3	Nocardia asteroides	1452
IS31831	ISL3	Corynebacterium glutamicum	1453
IS466	ISL3	Streptomyces coelicolor	1628
IS469	ISL3	Streptomyces coelicolor	1648
IS651	ISL3	Bacillus halodurans	1384
IS652	ISL3	Bacillus halodurans	1461
ISAar13	ISL3	Arthrobacter arilaitensis	1416
ISAar14	ISL3	Arthrobacter arilaitensis	1416
ISAar15	ISL3	Arthrobacter arilaitensis	1418
ISAar19	ISL3	Arthrobacter arilaitensis	1449
ISAar20	ISL3	Arthrobacter arilaitensis	1449
ISAar23	ISL3	Arthrobacter arilaitensis	1449
ISAar30	ISL3	Arthrobacter arilaitensis	1435
ISAar34	ISL3	Arthrobacter arilaitensis	1438
ISAar39	ISL3	Arthrobacter arilaitensis	1433
ISAar42	ISL3	Arthrobacter arilaitensis	1443
ISAba43	ISL3	Acinetobacter baumannii	2655
ISAbe14	ISL3	Acinetobacter bereziniae	9637
ISAcma10	ISL3	Acaryochloris marina	1385
ISAcma23	ISL3	Acaryochloris marina	1810
ISAcma49	ISL3	Acaryochloris marina	1588
ISAe1	ISL3	Ralstonia eutropha	1313
ISAeme19	ISL3	Aeromonas media	1304
ISAlac1	ISLre2	Alicyclobacillus acidocaldarius	1608
ISAli11	ISL3	Azospirillum lipoferum	1739
ISAli18	ISL3	Azospirillum lipoferum	1752
ISAmde2	ISLre2	Ammonifex degensii	1584
ISAmde3	ISLre2	Ammonifex degensii	1586
ISAmde4	ISLre2	Ammonifex degensii	1584
ISAmo1	ISLre2	Anaerobaculum mobile	1572
ISAmo2	ISLre2	Anaerobaculum mobile	1566
ISAnhy1	ISLre2	Anaerobaculum hydrogeniformans	1571
ISAot1	ISLre2	Alloiococcus otitis	1635
ISArch12	ISL3	Uncultured methanogenic	1324
ISArch13	ISL3	Uncultured methanogenic	1313
ISArch5	ISL3	Uncultured archaeon	1285
ISArsp7	ISL3	Arthrobacter sp.	1451
ISAsp1	ISL3	Anabaena sp.	1419
ISAtc1	ISL3	Acidithiobacillus caldus	1302
ISAtc2	ISL3	Acidithiobacillus caldus	1304
ISAtc3	ISL3	Acidithiobacillus caldus	1302
ISAzba9	ISL3	Azospirillum brasilense	1847
ISAzs13	ISL3	Azospirillum sp.	1769
ISAzs8	ISL3	Azospirillum sp.	1373
ISBco5	ISLre2	Bacillus coagulans	1554
ISBco6	ISLre2	Bacillus coagulans	1823
ISBdi3	ISL3	Bradyrhizobium diazoefficiens	1654
ISBli1	ISL3	Brevibacterium linens	1435
ISBli11	ISL3	Brevibacterium linens	1399
ISBli12	ISL3	Brevibacterium linens	1435
ISBli14	ISL3	Brevibacterium linens	1435
ISBli3	ISL3	Brevibacterium linens	1398
ISBli30	ISL3	Brevibacterium linens	1435
ISBlo6	ISL3	Bifidobacterium longum	1330
ISBma1	ISL3	Burkholderia mallei	1305
ISCARN113	ISL3	Metagenomic data	1329
ISCARN13	ISL3	Metagenomic data	1302
ISCARN2	ISL3	Metagenomic data	1303
ISCARN77	ISL3	Metagenomic data	1275
ISCbe4	ISLre2	Caldicellulosiruptor bescii	1610
ISCde3	ISLre2	Candidatus Desulforudis	1572
ISCfr12	ISL3	Citrobacter freundii	1316
ISCla2	ISLre2	Caldicellulosiruptor lactoaceticus	1610
ISClsp4	ISLre2	Clostridium sp.	1787
ISCow1	ISLre2	Caldicellulosiruptor owensensis	1613
ISCsa1	ISL3	Caldicellulosiruptor saccharolyticus	1852
ISCst1	ISLre2	Cylindrospermum stagnale	2019
ISCth13	ISL3	Clostridium thermocellum	1874
ISCx1	ISL3	Corynebacterium xerosis	536
ISDsu1	ISLre2	Dialister succinatiphilus	1655
ISDvu5	ISL3	Desulfovibrio vulgaris	1357
ISEc38	ISL3	Escherichia coli	1722
ISEc53	ISL3	Escherichia coli	1885
ISEcret3	ISL3	Endozoicomonas endosymbiont	1332
ISEfa11	ISL3	Enterococcus faecium	1514
ISEfa17	ISL3	Enterococcus faecium	1493
ISEfa5	ISL3	Enterococcus faecium	1514
ISFal1	ISL3	Frankia alni	1736
ISFnu5	ISL3	Fusobacterium nucleatum	1541
ISFsp1	ISL3	Frankia sp.	1732
ISGme5	ISL3	Geobacter metallireducens	1326
ISGme6	ISL3	Geobacter metallireducens	1372
ISGsp3	ISLre2	Geobacillus sp.	1519
ISGsp4	ISLre2	Geobacillus sp.	1707
ISGsp5	ISLre2	Geobacillus sp.	1706
ISGur7	ISL3	Geobacter uraniumreducens	1342
ISHaha2	ISL3	Halobacillus halophilus	1376
ISHor2	ISLre2	Halothermothrix orenii	1536
ISIde1	ISL3	Ideonella dechloratans	1448
ISKox3	ISL3	Klebsiella oxytoca	1316
ISKpn25	ISL3	Klebsiella pneumoniae	8154
ISKpn66	ISL3	Klebsiella pneumoniae	1315
ISL3	ISL3	Lactobacillus delbrueckii	1494
ISLbu1	ISLre2	Leptotrichia buccalis	1519
ISLca4	ISLre2	Lactobacillus casei	1595
ISLcr1	ISLre2	Lactobacillus crispatus	1597
ISLcr2	ISLre2	Lactobacillus crispatus	1599
ISLde1	ISLre2	Lactobacillus delbrueckii	1599
ISLdl1	ISL3	Lactobacillus delbrueckii	1508
ISLfr1	ISL3	Lactobacillus fructivorans	1468
ISLhe10	ISLre2	Lactobacillus helveticus	1598
ISLhe11	ISLre2	Lactobacillus helveticus	1597
ISLhe13	ISLre2	Lactobacillus helveticus	1599
ISLhe2	ISL3	Lactobacillus helveticus	1462
ISLho1	ISLre2	Lactobacillus hokkaidonensis	1547
ISLjo2	ISL3	Lactobacillus johnsonii	1461
ISLke1	ISLre2	Lactobacillus kefiranofaciens	1599
ISLpn11	ISL3	Legionella pneumophila	1286
ISLre2	ISLre2	Lactobacillus reuteri	1570
ISLrh4	ISLre2	Lactobacillus rhamnosus	1577
ISMac21	ISL3	Methanosarcina acetivorans	1327
ISMae36	ISL3	Microcystis aeruginosa	1422
ISMae37	ISL3	Microcystis aeruginosa	1245
ISMbu4	ISL3	Methanococcoides burtonii	1274
ISMdi2	ISL3	Methylobacterium dichloromethanicum	1689
ISMex10	ISL3	Methylobacterium extorquens	1754
ISMex24	ISL3	Methylobacterium extorquens	1677
ISMex26	ISL3	Methylobacterium extorquens	1676
ISMlu13	ISL3	Micrococcus luteus	1486
ISMlu5	ISL3	Micrococcus luteus	1426
ISMno30	ISL3	Methylobacterium nodulans	1773
ISMno5	ISL3	Methylobacterium nodulans	1728
ISMoth2	ISLre2	Moorella thermoacetica	1723
ISMsm4	ISL3	Mycobacterium smegmatis	1458
ISNspu1	ISLre2	Nodularia spumigena	1933
ISNth2	ISLre2	Natranaerobius thermophilus	1561
ISP1	ISL3	Lactobacillus plantarum	1433
ISPa61	ISL3	Pseudomonas aeruginosa	1219
ISPcc2	ISL3	Pectobacterium carotovorum	1309
ISPfr1	ISL3	Propionibacterium freudenreichii	1427
ISPfr18	ISL3	Propionibacterium freudenreichii	1427
ISPfr2	ISL3	Propionibacterium freudenreichii	1731
ISPfr20	ISL3	Propionibacterium freudenreichii	1505
ISPfr3	ISL3	Propionibacterium freudenreichii	1457
ISPfr4	ISL3	Propionibacterium freudenreichii	1415
ISPfr6	ISL3	Propionibacterium freudenreichii	1436
ISPfr7	ISL3	Propionibacterium freudenreichii	1423
ISPfr8	ISL3	Propionibacterium freudenreichii	1436
ISPpu12	ISL3	Pseudomonas putida	3372
ISPsp2	ISL3	Pseudomonas sp.	1416
ISPst2	ISL3	Pseudomonas stutzeri	2984
ISPst9	ISL3	Pseudomonas stutzeri	2472
ISRsl1	ISLre2	Runella slithyformis	1302
ISRso15	ISL3	Ralstonia solanacearum	1304
ISRso21	ISL3	Ralstonia solanacearum	2032
ISRsp8	ISL3	Rhizhobium sp.	1695
ISRta1	ISL3	Ralstonia taiwanensis	1303
ISSau8	ISL3	Staphylococcus aureus	1498
ISSeq1	ISL3	Streptococcus equi	1415
ISSg1	ISL3	Streptococcus gordonii	1186
ISSha1	ISL3	Staphylococcus haemolyticus	1489
ISShes3	ISL3	Shewanella sp.	1299
ISShha2	ISL3	Shewanella halifaxens	1348
ISShwo4	ISL3	Shewanella woodyi	1313
ISSiac5	ISLre2	Singulisphaera acidiphila	1429
ISSm4	ISL3	Serratia marcescens	9109
ISSmu2	ISL3	Streptococcus mutans	1411
ISSoEn4	ISL3	Primary endosymbiont	1712
ISSpn14	ISL3	Streptococcus pneumoniae	1415
ISSpn3	ISL3	Streptococcus pneumoniae	1479
ISSsu13	ISL3	Streptococcus suis	1414
ISSsu6	ISL3	Streptococcus suis	1416
ISSth1	ISL3	Streptococcus thermophilus	1416
ISSth8	ISL3	Streptococcus thermophilus	1339
ISStma11	ISL3	Stenotrophomonas maltophilia	4621
ISSyth3	ISLre2	Symbiobacterium thermophilum	1612
ISSyth4	ISLre2	Symbiobacterium thermophilum	1614
IST445	ISL3	Thiobacillus ferrooxidans	1219
ISTco1	ISLre2	Thermobacillus composti	1591
ISTco2	ISLre2	Thermobacillus composti	1593
ISTco3	ISLre2	Thermobacillus composti	1578
ISTco4	ISLre2	Thermobacillus composti	1577
ISTeha1	ISLre2	Tetragenococcus halophilus	1641
ISTesp2	ISL3	Terrabacter sp.	1397
ISTet1	ISLre2	Thermoanaerobacter ethanolicus	1596
ISTfe1	ISL3	Acidithiobacillus ferrooxidans	1303
ISThsp14	ISL3	Thiomonas sp.	1302
ISTph1	ISLre2	Thermacetogenium phaeum	1783
ISTte3	ISLre2	Thermoanaerobacter tengcongensis	1589
ISTxy1	ISLre2	Thermoanaerobacterium xylanolyticum	1846
ISVa10	ISL3	Vibrio anguillarum	1349
ISVa7	ISL3	Vibrio anguillarum	1348
ISVsp15	ISL3	Verrucomicrobium spinosum	1302
ISVsp17	ISL3	Verrucomicrobium spinosum	1327
ISXoo13	ISL3	Xanthomonas oryzae	1312
IS1202	ISNCY	Streptococcus pneumoniae	1747
IS161	ISNCY	Escherichia coli	1700
IS22	ISNCY	Pseudomonas aeruginosa	7300
IS281	ISNCY	Streptomyces lividans	1400
IS403	ISNCY	Burkholderia cepacia	800
IS404	ISNCY	Burkholderia cepacia	1100
IS405	ISNCY	Burkholderia cepacia	1500
IS411	ISNCY	Burkholderia cepacia	2000
IS415	ISNCY	Burkholderia cepacia	2100
IS60	ISNCY	Agrobacterium tumefaciens	1200
IS70	ISNCY	Proteus mirabilis	3700
IS802	ISNCY	Pseudomonas syringae	2600
IS803	ISNCY	Pseudomonas syringae	NA
IS892	ISNCY	Anabaena sp.	1675
IS893	ISNCY	Anabaena sp.	1200
IS894	ISNCY	Anabaena sp.	1900
IS897	ISNCY	Anabaena sp.	1500
IS898	ISNCY	Anabaena sp.	1000
IS932	ISNCY	Burkholderia cepacia	3400
ISA1214-1	ISNCY	Archaeoglobus fulgidus	1214
ISA1214-6	ISNCY	Archaeoglobus fulgidus	1213
ISAau5	ISNCY	Arthrobacter aurescens	3989
ISAba32	ISNCY	Acinetobacter baumannii	1482
ISAcar1	ISNCY	Acetohalobium arabaticum	1131
ISAcif1	ISNCY	Acidithiobacillus ferrivorans	2464
ISAfer1	ISNCY	Acidibacillus ferrooxidans	1623
ISAjo2	ISNCY	Acinetobacter johnsonii	1482
ISAlw22	ISNCY	Acinetobacter lwoffii	1482
ISArsp14	ISNCY	Arthrobacter sp.	17533
ISArsp16	ISNCY	Arthrobacter sp.	4338
ISArsp9	ISNCY	Arthrobacter sp.	12978
ISAtsp9	ISNCY	Arthrospira sp.	1421
ISAzs34	ISNCY	Azospirillum sp.	1650
ISBcen27	ISNCY	Burkholderia cenocepacia	1690
ISBj12	ISNCY	Bradyrhizobium japonicum	1743
ISBli15	ISNCY	Brevibacterium linens	1470
ISBli16	ISNCY	Brevibacterium linens	1428
ISBli29	ISNCY	Brevibacterium linens	4278
ISBth165	ISNCY	Bacillus thuringiensis	996
ISBth18	ISNCY	Bacillus thuringiensis	996
ISBva1	ISNCY	Bradyrhizobium valentinum	1988
ISC1043	ISNCY	Sulfolobus solfataricus	1043
ISC1205	ISNCY	Sulfolobus sp.	1205
ISC1217	ISNCY	Sulfolobus solfataricus	1147
ISCahy1	ISNCY	Caldicellulosiruptor hydrothermalis	1832
ISCARN112	ISNCY	Metagenomic data	1468
ISCARN53	ISNCY	Metagenomic data	1404
ISCARN62	ISNCY	Metagenomic data	1398
ISCARN63	ISNCY	Metagenomic data	1387
ISCb1	ISNCY	Clostridium beijerinckii	1764
ISCbe5	ISNCY	Caldicellulosiruptor bescii	1087
ISCde2	ISNCY	Candidatus Desulforudis	1704
ISCep2	ISNCY	Crinalium epipsammum	1822
ISCfr3	ISNCY	Citrobacter freundii	1081
ISChcr1	ISNCY	Chondromyces crocatus	1842
ISCku10	ISNCY	Candidatus Kuenenia	1883
ISCm1	ISNCY	Clavibacter michiganense	1300
ISCni2	ISNCY	Calditerrivibrio nitroreducens	1467
ISCph14	ISNCY	Chlorobium phaeobacteroides	1878
